set_number,original_pair,trial_index,master_image_file,layout,word,word_type,correct_side,user_choice
13,96,1,pair_96_round-left.png,round-left,MOOLOO,pseudoword,A,A
13,14,2,pair_14_sharp-left.png,sharp-left,MOOLAH,pseudoword,B,B
13,86,3,pair_86_sharp-left.png,sharp-left,TUHPEE,pseudoword,A,B
13,108,4,pair_108_sharp-left.png,sharp-left,LOOLOO,pseudoword,B,B
13,129,5,pair_129_sharp-left.png,sharp-left,LOONOH,pseudoword,B,B
13,93,6,pair_93_sharp-left.png,sharp-left,NOONOH,pseudoword,B,B
13,107,7,pair_107_sharp-left.png,sharp-left,LOHNOH,pseudoword,B,A
13,174,8,pair_174_round-left.png,round-left,KUHKAY,pseudoword,B,B
13,4,9,pair_04_round-left.png,round-left,KUHTUH,pseudoword,B,B
13,185,10,pair_185_sharp-left.png,sharp-left,MOHMOH,pseudoword,B,B
13,175,11,pair_175_sharp-left.png,sharp-left,TUHPAY,pseudoword,A,A
13,5,12,pair_05_round-left.png,round-left,TAYPEE,pseudoword,B,A
13,51,13,pair_51_sharp-left.png,sharp-left,PEEKUH,pseudoword,A,B
13,144,14,pair_144_sharp-left.png,sharp-left,KUHPEE,pseudoword,A,B
13,126,15,pair_126_sharp-left.png,sharp-left,NOOMAH,pseudoword,B,B
13,160,16,pair_160_round-left.png,round-left,MOOLOH,pseudoword,A,A
13,11,17,pair_11_round-left.png,round-left,NOHMOH,pseudoword,A,A
13,99,18,pair_99_sharp-left.png,sharp-left,MAHLOO,pseudoword,B,A
13,166,19,pair_166_sharp-left.png,sharp-left,NOOLAH,pseudoword,B,B
13,43,20,pair_43_round-left.png,round-left,MAHLAH,pseudoword,A,A
13,57,21,pair_57_sharp-left.png,sharp-left,TEEKAY,pseudoword,A,A
13,13,22,pair_13_sharp-left.png,sharp-left,TEETUH,pseudoword,A,A
13,55,23,pair_55_sharp-left.png,sharp-left,PEEKEE,pseudoword,A,A
13,151,24,pair_151_round-left.png,round-left,LOOMOO,pseudoword,A,A
13,137,25,pair_137_sharp-left.png,sharp-left,LAHLOO,pseudoword,B,B
13,34,26,pair_34_round-left.png,round-left,KEEKAY,pseudoword,B,B
13,46,27,pair_46_round-left.png,round-left,NOHNOH,pseudoword,A,A
13,39,28,pair_39_round-left.png,round-left,MOOMOO,pseudoword,A,A
13,54,29,pair_54_sharp-left.png,sharp-left,PAYPUH,pseudoword,A,B
13,165,30,pair_165_round-left.png,round-left,LAHMOO,pseudoword,A,A
13,136,31,pair_136_round-left.png,round-left,TUHKAY,pseudoword,B,B
13,143,32,pair_143_round-left.png,round-left,TAYPUH,pseudoword,B,B
13,142,33,pair_142_round-left.png,round-left,PAYTAY,pseudoword,B,A
13,41,34,pair_41_sharp-left.png,sharp-left,LAHMOH,pseudoword,B,B
13,29,35,pair_29_round-left.png,round-left,PUHTUH,pseudoword,B,A
13,119,36,pair_119_round-left.png,round-left,MOONOH,pseudoword,A,B
13,35,37,pair_35_round-left.png,round-left,NAHNAH,pseudoword,A,A
13,123,38,pair_123_sharp-left.png,sharp-left,KEEPAY,pseudoword,A,A
13,12,39,pair_12_round-left.png,round-left,PEEPEE,pseudoword,B,A
13,61,40,pair_61_sharp-left.png,sharp-left,KUHTEE,pseudoword,A,A
13,67,41,pair_67_sharp-left.png,sharp-left,LOHMAH,pseudoword,B,B
13,104,42,pair_104_round-left.png,round-left,LOONAH,pseudoword,A,A
13,63,43,pair_63_round-left.png,round-left,TAYKAY,pseudoword,B,B
13,16,44,pair_16_sharp-left.png,sharp-left,NOOLOO,pseudoword,B,B
13,113,45,pair_113_round-left.png,round-left,PUHPAY,pseudoword,B,A
13,122,46,pair_122_round-left.png,round-left,MOONAH,pseudoword,A,A
13,83,47,pair_83_round-left.png,round-left,LAHMAH,pseudoword,A,A
13,147,48,pair_147_sharp-left.png,sharp-left,NAHMAH,pseudoword,B,A
13,28,49,pair_28_round-left.png,round-left,KUHPUH,pseudoword,B,A
13,23,50,pair_23_sharp-left.png,sharp-left,TAYKEE,pseudoword,A,B
13,159,51,pair_159_round-left.png,round-left,TEETAY,pseudoword,B,B
13,176,52,pair_176_round-left.png,round-left,MOHNOH,pseudoword,A,A
13,71,53,pair_71_round-left.png,round-left,KUHKUH,pseudoword,B,B
13,50,54,pair_50_round-left.png,round-left,TEETEE,pseudoword,B,B
13,8,55,pair_08_round-left.png,round-left,PAYKEE,pseudoword,B,A
13,31,56,pair_31_round-left.png,round-left,KEEKUH,pseudoword,B,B
13,87,57,pair_87_sharp-left.png,sharp-left,KEEPEE,pseudoword,A,A
13,36,58,pair_36_sharp-left.png,sharp-left,PAYKAY,pseudoword,A,B
13,150,59,pair_150_round-left.png,round-left,KAYPEE,pseudoword,B,B
13,182,60,pair_182_sharp-left.png,sharp-left,NOHNAH,pseudoword,B,B
13,116,61,pair_116_round-left.png,round-left,MAHNOH,pseudoword,A,A
13,24,62,pair_24_sharp-left.png,sharp-left,LAHNOO,pseudoword,B,B
13,111,63,pair_111_round-left.png,round-left,NAHLOH,pseudoword,A,A
13,102,64,pair_102_sharp-left.png,sharp-left,KEETAY,pseudoword,A,A
13,124,65,pair_124_sharp-left.png,sharp-left,KEEPUH,pseudoword,A,A
13,22,66,pair_22_sharp-left.png,sharp-left,TUHTAY,pseudoword,A,A
13,173,67,pair_173_round-left.png,round-left,LOHLOH,pseudoword,A,A
13,184,68,pair_184_sharp-left.png,sharp-left,KAYKUH,pseudoword,A,B
13,139,69,pair_139_round-left.png,round-left,TAYPAY,pseudoword,B,B
13,73,70,pair_73_sharp-left.png,sharp-left,TUHPUH,pseudoword,A,B
13,157,71,pair_157_round-left.png,round-left,TAYTUH,pseudoword,B,B
13,27,72,pair_27_sharp-left.png,sharp-left,TAYKUH,pseudoword,A,A
13,109,73,pair_109_round-left.png,round-left,NOOMOH,pseudoword,A,A
13,44,74,pair_44_sharp-left.png,sharp-left,PEEPAY,pseudoword,A,B
13,90,75,pair_90_sharp-left.png,sharp-left,KEEKEE,pseudoword,A,A
13,138,76,pair_138_sharp-left.png,sharp-left,MAHNOO,pseudoword,B,B
13,78,77,pair_78_sharp-left.png,sharp-left,KAYPAY,pseudoword,A,B
13,145,78,pair_145_sharp-left.png,sharp-left,MOHNAH,pseudoword,B,B
13,163,79,pair_163_round-left.png,round-left,LAHNOH,pseudoword,A,A
13,134,80,pair_134_round-left.png,round-left,MOHLOH,pseudoword,A,B
13,133,81,pair_133_round-left.png,round-left,LOOLOH,pseudoword,A,A
13,37,82,pair_37_round-left.png,round-left,KAYTUH,pseudoword,B,B
13,179,83,pair_179_round-left.png,round-left,MOHMAH,pseudoword,A,A
13,82,84,pair_82_sharp-left.png,sharp-left,PUHKAY,pseudoword,A,B
13,42,85,pair_42_round-left.png,round-left,KAYKAY,pseudoword,B,B
13,180,86,pair_180_round-left.png,round-left,TEEKUH,pseudoword,B,B
13,115,87,pair_115_round-left.png,round-left,NAHNOO,pseudoword,A,A
13,21,88,pair_21_round-left.png,round-left,TUHTUH,pseudoword,B,A
13,53,89,pair_53_round-left.png,round-left,MOOMOH,pseudoword,A,A
13,162,90,pair_162_round-left.png,round-left,NOHLOO,pseudoword,A,A
13,70,91,pair_70_round-left.png,round-left,MOHNOO,pseudoword,A,A
13,72,92,pair_72_sharp-left.png,sharp-left,TAYTEE,pseudoword,A,B
