original_pair,set_number,trial_index,master_image_file,layout,word,word_type,correct_side,user_choice
23,14,1,pair_23_round-left.png,round-left,TEEPEE,pseudoword,B,B
134,14,2,pair_134_round-left.png,round-left,MOOLOO,pseudoword,A,A
91,14,3,pair_91_round-left.png,round-left,PAYKUH,pseudoword,B,A
71,14,4,pair_71_round-left.png,round-left,LOHMOO,pseudoword,A,A
133,14,5,pair_133_round-left.png,round-left,MOHLAH,pseudoword,A,A
129,14,6,pair_129_sharp-left.png,sharp-left,KUHPUH,pseudoword,A,B
142,14,7,pair_142_round-left.png,round-left,PUHKUH,pseudoword,B,B
42,14,8,pair_42_round-left.png,round-left,TAYKAY,pseudoword,B,B
132,14,9,pair_132_round-left.png,round-left,KUHKEE,pseudoword,B,B
88,14,10,pair_88_round-left.png,round-left,KEETAY,pseudoword,B,B
9,14,11,pair_09_round-left.png,round-left,TEEKAY,pseudoword,B,B
13,14,12,pair_13_sharp-left.png,sharp-left,NAHMOH,pseudoword,B,B
95,14,13,pair_95_sharp-left.png,sharp-left,PAYTUH,pseudoword,A,A
153,14,14,pair_153_sharp-left.png,sharp-left,PAYTEE,pseudoword,A,A
156,14,15,pair_156_round-left.png,round-left,KEEKAY,pseudoword,B,B
104,14,16,pair_104_sharp-left.png,sharp-left,PAYPUH,pseudoword,A,B
120,14,17,pair_120_sharp-left.png,sharp-left,LOONOO,pseudoword,B,B
31,14,18,pair_31_sharp-left.png,sharp-left,LAHMOO,pseudoword,B,B
58,14,19,pair_58_sharp-left.png,sharp-left,KAYTEE,pseudoword,A,A
106,14,20,pair_106_round-left.png,round-left,LOOLOH,pseudoword,A,B
111,14,21,pair_111_sharp-left.png,sharp-left,NOHLAH,pseudoword,B,B
67,14,22,pair_67_round-left.png,round-left,KEEPAY,pseudoword,B,B
18,14,23,pair_18_round-left.png,round-left,TUHKEE,pseudoword,B,B
138,14,24,pair_138_sharp-left.png,sharp-left,MOHMAH,pseudoword,B,B
100,14,25,pair_100_sharp-left.png,sharp-left,LOHNOH,pseudoword,B,B
54,14,26,pair_54_round-left.png,round-left,PEEPUH,pseudoword,B,A
80,14,27,pair_80_sharp-left.png,sharp-left,PEETAY,pseudoword,A,A
27,14,28,pair_27_sharp-left.png,sharp-left,LOHLAH,pseudoword,B,B
7,14,29,pair_07_sharp-left.png,sharp-left,BOUBA,canonical,B,B
10,14,30,pair_10_sharp-left.png,sharp-left,MOOLAH,pseudoword,B,B
55,14,31,pair_55_round-left.png,round-left,KEEPEE,pseudoword,B,B
75,14,32,pair_75_round-left.png,round-left,TUHPAY,pseudoword,B,B
165,14,33,pair_165_sharp-left.png,sharp-left,TUHPEE,pseudoword,A,A
89,14,34,pair_89_sharp-left.png,sharp-left,LAHLOO,pseudoword,B,B
167,14,35,pair_167_sharp-left.png,sharp-left,KEEKEE,pseudoword,A,A
46,14,36,pair_46_sharp-left.png,sharp-left,PEETEE,pseudoword,A,A
65,14,37,pair_65_sharp-left.png,sharp-left,MOONAH,pseudoword,B,B
177,14,38,pair_177_round-left.png,round-left,MAHLOH,pseudoword,A,A
184,14,39,pair_184_sharp-left.png,sharp-left,TAYTAY,pseudoword,A,A
185,14,40,pair_185_round-left.png,round-left,NOHLOH,pseudoword,A,A
182,14,41,pair_182_sharp-left.png,sharp-left,KAYKAY,pseudoword,A,A
118,14,42,pair_118_round-left.png,round-left,MOOLOH,pseudoword,A,A
4,14,43,pair_04_sharp-left.png,sharp-left,PUHKEE,pseudoword,A,A
59,14,44,pair_59_round-left.png,round-left,KAYTUH,pseudoword,B,B
141,14,45,pair_141_sharp-left.png,sharp-left,NAHMAH,pseudoword,B,B
74,14,46,pair_74_sharp-left.png,sharp-left,NOOMAH,pseudoword,B,B
47,14,47,pair_47_round-left.png,round-left,LOHLOO,pseudoword,A,B
81,14,48,pair_81_sharp-left.png,sharp-left,PAYKEE,pseudoword,A,A
16,14,49,pair_16_sharp-left.png,sharp-left,LOHNOO,pseudoword,B,B
137,14,50,pair_137_sharp-left.png,sharp-left,NOHLOO,pseudoword,B,A
25,14,51,pair_25_sharp-left.png,sharp-left,LOHNAH,pseudoword,B,A
172,14,52,pair_172_sharp-left.png,sharp-left,LAHLAH,pseudoword,B,A
157,14,53,pair_157_round-left.png,round-left,TEETAY,pseudoword,B,B
162,14,54,pair_162_round-left.png,round-left,KUHPEE,pseudoword,B,A
14,14,55,pair_14_round-left.png,round-left,KUHKAY,pseudoword,B,B
22,14,56,pair_22_sharp-left.png,sharp-left,TUHTAY,pseudoword,A,A
168,14,57,pair_168_sharp-left.png,sharp-left,NAHNOO,pseudoword,B,B
126,14,58,pair_126_sharp-left.png,sharp-left,PUHTAY,pseudoword,A,B
152,14,59,pair_152_sharp-left.png,sharp-left,KUHTAY,pseudoword,A,A
154,14,60,pair_154_sharp-left.png,sharp-left,KUHPAY,pseudoword,A,B
175,14,61,pair_175_round-left.png,round-left,KUHKUH,pseudoword,B,B
49,14,62,pair_49_sharp-left.png,sharp-left,LOOLOO,pseudoword,B,B
123,14,63,pair_123_round-left.png,round-left,TAYKEE,pseudoword,B,B
103,14,64,pair_103_round-left.png,round-left,PEEPEE,pseudoword,B,B
66,14,65,pair_66_round-left.png,round-left,TAYTEE,pseudoword,B,B
43,14,66,pair_43_sharp-left.png,sharp-left,LAHMOH,pseudoword,B,B
140,14,67,pair_140_sharp-left.png,sharp-left,MAHNAH,pseudoword,B,B
105,14,68,pair_105_round-left.png,round-left,TEEPAY,pseudoword,B,B
145,14,69,pair_145_sharp-left.png,sharp-left,NOONOO,pseudoword,B,B
60,14,70,pair_60_round-left.png,round-left,LAHNOH,pseudoword,A,B
96,14,71,pair_96_sharp-left.png,sharp-left,PUHTEE,pseudoword,A,A
69,14,72,pair_69_round-left.png,round-left,NAHNAH,pseudoword,A,A
52,14,73,pair_52_round-left.png,round-left,LOHMAH,pseudoword,A,A
40,14,74,pair_40_sharp-left.png,sharp-left,PUHPEE,pseudoword,A,B
