set_number,trial_index,master_image_file,layout,word,word_type,correct_side,original_pair,user_choice
52,1,pair_128_round-left.png,round-left,KUHKUH,pseudoword,B,128,B
52,2,pair_161_round-left.png,round-left,NAHNAH,pseudoword,A,161,A
52,3,pair_104_sharp-left.png,sharp-left,NAHNOO,pseudoword,B,104,B
52,4,pair_168_sharp-left.png,sharp-left,TAYTUH,pseudoword,A,168,A
52,5,pair_66_round-left.png,round-left,KUHTUH,pseudoword,B,66,B
52,6,pair_171_round-left.png,round-left,PUHKUH,pseudoword,B,171,B
52,7,pair_29_sharp-left.png,sharp-left,PAYPAY,pseudoword,A,29,A
52,8,pair_61_round-left.png,round-left,MOOMOH,pseudoword,A,61,A
52,9,pair_121_round-left.png,round-left,MOOLOH,pseudoword,A,121,A
52,10,pair_88_sharp-left.png,sharp-left,NOHLAH,pseudoword,B,88,A
52,11,pair_102_sharp-left.png,sharp-left,KAYPAY,pseudoword,A,102,B
52,12,pair_25_round-left.png,round-left,KEETUH,pseudoword,B,25,B
52,13,pair_169_round-left.png,round-left,NOOLOO,pseudoword,A,169,A
52,14,pair_43_sharp-left.png,sharp-left,LAHMOO,pseudoword,B,43,B
52,15,pair_126_sharp-left.png,sharp-left,MAHNOH,pseudoword,B,126,A
52,16,pair_08_round-left.png,round-left,LAHNOO,pseudoword,A,8,B
52,17,pair_159_round-left.png,round-left,PAYTAY,pseudoword,B,159,A
52,18,pair_85_round-left.png,round-left,KAYKUH,pseudoword,B,85,B
52,19,pair_163_sharp-left.png,sharp-left,MAHLOH,pseudoword,B,163,A
52,20,pair_111_round-left.png,round-left,NOOLOH,pseudoword,A,111,B
52,21,pair_15_round-left.png,round-left,MAHNAH,pseudoword,A,15,A
52,22,pair_90_round-left.png,round-left,TUHKEE,pseudoword,B,90,B
52,23,pair_04_sharp-left.png,sharp-left,PAYTUH,pseudoword,A,4,B
52,24,pair_92_sharp-left.png,sharp-left,MOHNOH,pseudoword,B,92,A
52,25,pair_81_round-left.png,round-left,LOONOH,pseudoword,A,81,A
52,26,pair_45_sharp-left.png,sharp-left,TUHKAY,pseudoword,A,45,A
52,27,pair_64_round-left.png,round-left,MOHLOO,pseudoword,A,64,B
52,28,pair_87_round-left.png,round-left,LOONAH,pseudoword,A,87,B
52,29,pair_134_sharp-left.png,sharp-left,NAHLAH,pseudoword,B,134,A
52,30,pair_133_sharp-left.png,sharp-left,KEEPAY,pseudoword,A,133,B
52,31,pair_50_sharp-left.png,sharp-left,MOONOO,pseudoword,B,50,A
52,32,pair_07_sharp-left.png,sharp-left,BOUBA,canonical,B,7,B
52,33,pair_97_sharp-left.png,sharp-left,KAYKAY,pseudoword,A,97,A
52,34,pair_145_sharp-left.png,sharp-left,MAHLAH,pseudoword,B,145,B
52,35,pair_184_sharp-left.png,sharp-left,LOHLOH,pseudoword,B,184,A
52,36,pair_27_round-left.png,round-left,LOOLOO,pseudoword,A,27,A
52,37,pair_119_round-left.png,round-left,LOHMOH,pseudoword,A,119,B
52,38,pair_84_round-left.png,round-left,TUHPAY,pseudoword,B,84,B
52,39,pair_151_round-left.png,round-left,LOOMAH,pseudoword,A,151,A
52,40,pair_80_round-left.png,round-left,MOHMOO,pseudoword,A,80,A
52,41,pair_17_round-left.png,round-left,TEETEE,pseudoword,B,17,B
52,42,pair_135_sharp-left.png,sharp-left,KUHPUH,pseudoword,A,135,A
52,43,pair_42_round-left.png,round-left,LAHMOH,pseudoword,A,42,A
52,44,pair_125_sharp-left.png,sharp-left,TAYPAY,pseudoword,A,125,B
52,45,pair_67_sharp-left.png,sharp-left,TEETUH,pseudoword,A,67,B
52,46,pair_73_round-left.png,round-left,LOHLAH,pseudoword,A,73,A
52,47,pair_116_round-left.png,round-left,NAHMOO,pseudoword,A,116,A
52,48,pair_53_round-left.png,round-left,PEEPAY,pseudoword,B,53,B
52,49,pair_13_round-left.png,round-left,KAYKEE,pseudoword,B,13,A
52,50,pair_185_sharp-left.png,sharp-left,MAHMAH,pseudoword,B,185,B
52,51,pair_11_round-left.png,round-left,NOOMOO,pseudoword,A,11,A
52,52,pair_113_round-left.png,round-left,LOHNOO,pseudoword,A,113,A
52,53,pair_31_round-left.png,round-left,LOHNOH,pseudoword,A,31,B
52,54,pair_174_sharp-left.png,sharp-left,LAHMAH,pseudoword,B,174,B
52,55,pair_10_round-left.png,round-left,KEEKAY,pseudoword,B,10,A
52,56,pair_114_round-left.png,round-left,NOHMAH,pseudoword,A,114,A
52,57,pair_21_sharp-left.png,sharp-left,NOONOO,pseudoword,B,21,B
52,58,pair_117_sharp-left.png,sharp-left,LOOMOH,pseudoword,B,117,A
52,59,pair_179_round-left.png,round-left,TUHPUH,pseudoword,B,179,A
52,60,pair_32_round-left.png,round-left,PEEKAY,pseudoword,B,32,B
52,61,pair_72_sharp-left.png,sharp-left,NAHMAH,pseudoword,B,72,A
52,62,pair_93_round-left.png,round-left,LOHNAH,pseudoword,A,93,A
52,63,pair_38_sharp-left.png,sharp-left,NAHMOH,pseudoword,B,38,B
52,64,pair_140_sharp-left.png,sharp-left,MOHMOH,pseudoword,B,140,B
52,65,pair_65_sharp-left.png,sharp-left,KEEKUH,pseudoword,A,65,A
52,66,pair_115_sharp-left.png,sharp-left,NOONAH,pseudoword,B,115,B
52,67,pair_106_sharp-left.png,sharp-left,TUHTUH,pseudoword,A,106,A
52,68,pair_18_sharp-left.png,sharp-left,LOHMAH,pseudoword,B,18,B
52,69,pair_172_round-left.png,round-left,PUHTEE,pseudoword,B,172,A
52,70,pair_40_sharp-left.png,sharp-left,NOHNOO,pseudoword,B,40,B
52,71,pair_162_sharp-left.png,sharp-left,PAYKAY,pseudoword,A,162,A
52,72,pair_28_sharp-left.png,sharp-left,NAHLOH,pseudoword,B,28,B
52,73,pair_137_round-left.png,round-left,PUHKAY,pseudoword,B,137,A
52,74,pair_07_round-left.png,round-left,KIKI,canonical,B,7,A
52,75,pair_20_sharp-left.png,sharp-left,MOOLOO,pseudoword,B,20,B
52,76,pair_79_round-left.png,round-left,LOONOO,pseudoword,A,79,B
52,77,pair_146_round-left.png,round-left,TEEKUH,pseudoword,B,146,B
52,78,pair_52_round-left.png,round-left,PEEPUH,pseudoword,B,52,A
52,79,pair_155_sharp-left.png,sharp-left,LAHNAH,pseudoword,B,155,A
52,80,pair_74_sharp-left.png,sharp-left,PUHKEE,pseudoword,A,74,A
52,81,pair_09_sharp-left.png,sharp-left,KEEPUH,pseudoword,A,9,B
52,82,pair_124_round-left.png,round-left,PUHTUH,pseudoword,B,124,A
52,83,pair_176_sharp-left.png,sharp-left,TUHTAY,pseudoword,A,176,B
52,84,pair_95_sharp-left.png,sharp-left,PEETUH,pseudoword,A,95,B
52,85,pair_165_round-left.png,round-left,NOONOH,pseudoword,A,165,A
52,86,pair_05_sharp-left.png,sharp-left,TAYPEE,pseudoword,A,5,B
52,87,pair_71_sharp-left.png,sharp-left,NOOMAH,pseudoword,B,71,A
52,88,pair_156_round-left.png,round-left,NOOMOH,pseudoword,A,156,B
52,89,pair_01_sharp-left.png,sharp-left,MALUMA,canonical,B,1,A
52,90,pair_101_round-left.png,round-left,KEEPEE,pseudoword,B,101,B
52,91,pair_109_sharp-left.png,sharp-left,NAHLOO,pseudoword,B,109,A
52,92,pair_108_sharp-left.png,sharp-left,PEEKUH,pseudoword,A,108,B
52,93,pair_26_sharp-left.png,sharp-left,MOHNOO,pseudoword,B,26,B
52,94,pair_68_round-left.png,round-left,KAYTAY,pseudoword,B,68,A
52,95,pair_175_sharp-left.png,sharp-left,NOOLAH,pseudoword,B,175,A
52,96,pair_75_sharp-left.png,sharp-left,MAHLOO,pseudoword,B,75,B
52,97,pair_99_round-left.png,round-left,PAYKUH,pseudoword,B,99,A
52,98,pair_63_sharp-left.png,sharp-left,KEETEE,pseudoword,A,63,B
52,99,pair_14_sharp-left.png,sharp-left,LAHLAH,pseudoword,B,14,B
52,100,pair_16_sharp-left.png,sharp-left,LOOLAH,pseudoword,B,16,B
52,101,pair_150_round-left.png,round-left,TEEKEE,pseudoword,B,150,B
52,102,pair_82_sharp-left.png,sharp-left,MAHMOO,pseudoword,B,82,B
52,103,pair_91_round-left.png,round-left,TUHPEE,pseudoword,B,91,A
52,104,pair_98_round-left.png,round-left,TAYTAY,pseudoword,B,98,B
52,105,pair_76_sharp-left.png,sharp-left,KAYTUH,pseudoword,A,76,A
52,106,pair_19_sharp-left.png,sharp-left,TEETAY,pseudoword,A,19,A
52,107,pair_57_sharp-left.png,sharp-left,KUHTEE,pseudoword,A,57,B
52,108,pair_131_round-left.png,round-left,LAHNOH,pseudoword,A,131,A
52,109,pair_60_round-left.png,round-left,TUHTEE,pseudoword,B,60,B
52,110,pair_33_sharp-left.png,sharp-left,PAYPEE,pseudoword,A,33,A
52,111,pair_142_round-left.png,round-left,PUHPAY,pseudoword,B,142,A
52,112,pair_54_sharp-left.png,sharp-left,PEEKEE,pseudoword,A,54,B
52,113,pair_41_round-left.png,round-left,NOHMOH,pseudoword,A,41,A
52,114,pair_153_round-left.png,round-left,TAYKAY,pseudoword,B,153,B
52,115,pair_129_sharp-left.png,sharp-left,LAHLOO,pseudoword,B,129,B
52,116,pair_23_round-left.png,round-left,KUHTAY,pseudoword,B,23,B
52,117,pair_36_round-left.png,round-left,KUHPEE,pseudoword,B,36,B
52,118,pair_55_round-left.png,round-left,MOHLOH,pseudoword,A,55,A
52,119,pair_132_sharp-left.png,sharp-left,MOONOH,pseudoword,B,132,B
52,120,pair_120_round-left.png,round-left,NOHLOH,pseudoword,A,120,A
52,121,pair_86_round-left.png,round-left,NOHNAH,pseudoword,A,86,B
52,122,pair_136_sharp-left.png,sharp-left,MOHNAH,pseudoword,B,136,B
52,123,pair_144_round-left.png,round-left,NAHNOH,pseudoword,A,144,A
52,124,pair_157_sharp-left.png,sharp-left,TEEKAY,pseudoword,A,157,A
52,125,pair_167_sharp-left.png,sharp-left,KAYPEE,pseudoword,A,167,A
52,126,pair_152_sharp-left.png,sharp-left,KEEKEE,pseudoword,A,152,B
52,127,pair_62_round-left.png,round-left,MOONAH,pseudoword,A,62,B
52,128,pair_110_sharp-left.png,sharp-left,MOOLAH,pseudoword,B,110,B
52,129,pair_24_round-left.png,round-left,TUHKUH,pseudoword,B,24,A
52,130,pair_47_round-left.png,round-left,PUHTAY,pseudoword,B,47,A
52,131,pair_107_round-left.png,round-left,KEETAY,pseudoword,B,107,B
52,132,pair_46_round-left.png,round-left,NOHNOH,pseudoword,A,46,B
52,133,pair_103_round-left.png,round-left,PUHPEE,pseudoword,B,103,A
52,134,pair_22_sharp-left.png,sharp-left,LOHLOO,pseudoword,B,22,B
52,135,pair_51_sharp-left.png,sharp-left,MOHLAH,pseudoword,B,51,A
52,136,pair_182_round-left.png,round-left,MOOMAH,pseudoword,A,182,A
52,137,pair_105_sharp-left.png,sharp-left,LOOLOH,pseudoword,B,105,B
52,138,pair_154_round-left.png,round-left,MAHMOH,pseudoword,A,154,A
52,139,pair_44_round-left.png,round-left,TEEPEE,pseudoword,B,44,B
52,140,pair_147_round-left.png,round-left,TEEPAY,pseudoword,B,147,B
52,141,pair_143_round-left.png,round-left,PEETEE,pseudoword,B,143,B
52,142,pair_177_round-left.png,round-left,TAYPUH,pseudoword,B,177,B
52,143,pair_141_round-left.png,round-left,LOHMOO,pseudoword,A,141,A
52,144,pair_122_sharp-left.png,sharp-left,PEETAY,pseudoword,A,122,A
52,145,pair_34_round-left.png,round-left,TAYKUH,pseudoword,B,34,B
52,146,pair_06_round-left.png,round-left,TAYKEE,pseudoword,B,6,A
52,147,pair_139_round-left.png,round-left,TEEPUH,pseudoword,B,139,B
52,148,pair_78_sharp-left.png,sharp-left,MAHNOO,pseudoword,B,78,B
